gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0,event_id,has_positive,has_future,outside_only
31.0,7,7,5,0,True,38,0,0,0,0,0,0,0,0,2021-06-17 08:42:00,EV2-0164,False,False,False
192.0,6,6,6,1,True,46,1,1,0,0,1,1,1,1,2021-06-22 01:32:00,EV2-0165,True,True,False
27.0,6,6,5,16,True,34,8,11,3,5,6,8,10,10,2021-06-28 22:32:00,EV2-0166,True,True,False
20.0,21,21,9,29,True,44,8,10,2,2,7,8,9,10,2021-07-07 23:22:00,EV2-0167,True,True,False
5.0,13,13,8,0,True,60,0,0,0,0,0,0,0,0,2021-07-08 00:25:00,EV2-0168,False,False,False
124.0,6,6,4,0,True,30,0,0,0,0,0,0,0,0,2021-07-10 01:23:00,EV2-0169,False,False,False
8.0,8,7,5,0,True,32,0,0,0,0,0,0,0,0,2021-07-11 20:48:00,EV2-0170,False,False,False
1323.0,6,6,6,0,True,45,0,0,0,0,0,0,0,0,2021-07-12 22:46:00,EV2-0171,False,False,False
578.0,10,10,8,2,True,46,2,2,0,0,2,2,2,2,2021-07-13 19:41:00,EV2-0172,True,True,False
17.0,12,12,8,26,True,51,11,11,0,0,11,11,11,11,2021-07-14 20:35:00,EV2-0173,True,True,False
2.0,22,21,14,12,True,55,6,6,0,0,6,6,6,6,2021-07-14 21:35:00,EV2-0174,True,True,False
9.0,10,10,6,6,True,40,4,4,0,0,4,4,4,4,2021-07-14 22:42:00,EV2-0175,True,True,False
14.0,14,11,7,9,True,46,7,9,2,2,6,7,9,9,2021-07-14 23:44:00,EV2-0176,True,True,False
73.0,6,6,6,2,True,39,2,2,0,0,2,2,2,2,2021-07-16 05:42:00,EV2-0177,True,True,False
35.0,7,6,5,12,True,42,4,5,1,2,3,4,5,5,2021-07-20 21:30:00,EV2-0178,True,True,False
14.0,7,7,4,7,True,24,4,4,0,0,3,4,4,4,2021-07-20 22:39:00,EV2-0179,True,True,False
1.0,20,17,9,5,True,46,4,4,0,0,4,4,4,4,2021-07-20 23:39:00,EV2-0180,True,True,False
7.0,6,6,4,5,True,28,4,4,0,0,4,4,4,4,2021-07-23 23:01:00,EV2-0181,True,True,False
12.0,9,8,8,0,True,46,0,0,0,0,0,0,0,0,2021-07-25 00:06:00,EV2-0182,False,False,False
43.0,10,9,4,7,True,24,4,6,2,2,4,4,4,4,2021-07-25 21:18:00,EV2-0183,True,True,False
17.0,6,6,4,6,True,24,2,2,0,0,2,2,2,2,2021-07-25 22:26:00,EV2-0184,True,True,False
29.0,11,11,5,5,True,39,4,5,1,1,4,4,4,4,2021-07-26 20:58:00,EV2-0185,True,True,False
18.0,7,7,4,3,True,26,2,3,1,1,1,2,2,3,2021-08-01 19:04:00,EV2-0186,True,True,False
80.0,8,8,5,0,True,29,0,0,0,0,0,0,0,0,2021-08-02 18:00:00,EV2-0187,False,False,False
14.0,13,7,3,11,True,21,4,5,1,1,4,4,4,4,2021-08-04 23:18:00,EV2-0188,True,True,False
6.0,12,11,5,16,True,27,6,7,1,1,4,6,6,7,2021-08-05 00:18:00,EV2-0189,True,True,False
12.0,11,9,7,3,True,41,3,3,0,0,3,3,3,3,2021-08-05 23:21:00,EV2-0190,True,True,False
21.0,9,9,7,2,True,35,2,2,0,0,2,2,2,2,2021-08-12 21:12:00,EV2-0191,True,True,False
51.0,6,6,4,0,True,28,0,0,0,0,0,0,0,0,2021-08-13 02:53:00,EV2-0192,False,False,False
97.0,14,12,7,6,True,47,4,4,0,0,3,4,4,4,2021-08-14 22:26:00,EV2-0193,True,True,False
27.0,7,7,5,1,True,40,1,1,0,0,1,1,1,1,2021-08-15 21:10:00,EV2-0194,True,True,False
18.0,11,11,5,4,True,34,3,3,0,0,2,3,3,3,2021-08-15 22:31:00,EV2-0195,True,True,False
169.0,8,6,2,3,True,26,1,2,1,1,1,1,2,2,2021-08-18 21:13:00,EV2-0196,True,True,False
83.0,11,11,8,1,True,49,1,1,0,0,0,1,1,1,2021-08-19 21:09:00,EV2-0197,True,True,False
15.0,7,7,5,3,True,35,3,3,0,0,3,3,3,3,2021-08-20 20:03:00,EV2-0198,True,True,False
86.0,6,6,6,1,True,56,1,1,0,0,1,1,1,1,2021-08-27 07:42:00,EV2-0199,True,True,False
136.0,8,6,1,0,True,13,0,0,0,0,0,0,0,0,2021-08-30 19:48:00,EV2-0200,False,False,False
84.0,6,6,2,0,True,18,0,0,0,0,0,0,0,0,2021-08-31 00:24:00,EV2-0201,False,False,False
216.0,12,12,5,8,True,36,6,6,0,0,6,6,6,6,2021-08-31 21:03:00,EV2-0202,True,True,False
15.0,14,14,5,13,True,27,6,7,1,2,6,6,7,7,2021-08-31 22:30:00,EV2-0203,True,True,False
21.0,6,6,5,3,True,36,1,2,1,1,1,1,1,2,2021-09-04 22:38:00,EV2-0204,True,True,False
10.0,6,6,5,1,True,42,1,1,0,0,1,1,1,1,2021-09-12 20:56:00,EV2-0205,True,True,False
15.0,9,8,4,3,True,26,2,2,0,0,2,2,2,2,2021-09-13 00:11:00,EV2-0206,True,True,False
110.0,6,6,6,1,True,33,1,1,0,0,1,1,1,1,2021-09-19 21:12:00,EV2-0207,True,True,False
31.0,16,14,4,2,True,24,2,2,0,0,2,2,2,2,2021-09-21 22:20:00,EV2-0208,True,True,False
8.0,6,6,5,3,True,29,3,3,0,0,3,3,3,3,2021-09-21 23:27:00,EV2-0209,True,True,False
40.0,9,9,6,3,True,51,3,3,0,0,3,3,3,3,2021-09-24 22:53:00,EV2-0210,True,True,False
286.0,17,7,2,0,True,26,0,0,0,0,0,0,0,0,2021-09-26 15:40:00,EV2-0211,False,False,False
65.0,6,6,3,0,True,31,0,0,0,0,0,0,0,0,2021-09-27 21:05:00,EV2-0212,False,False,False
12.0,10,9,5,4,True,27,4,4,0,0,4,4,4,4,2021-09-28 21:12:00,EV2-0213,True,True,False
55.0,9,8,4,1,True,44,0,1,1,1,0,0,1,1,2021-10-02 22:57:00,EV2-0214,False,True,True
158.0,10,8,6,10,True,33,5,6,1,1,4,5,5,5,2021-10-03 20:30:00,EV2-0215,True,True,False
34.0,6,6,4,1,True,31,1,1,0,0,1,1,1,1,2021-10-04 21:11:00,EV2-0216,True,True,False
19.0,7,7,5,1,True,40,1,1,0,0,1,1,1,1,2021-10-04 23:37:00,EV2-0217,True,True,False
18.0,8,8,5,2,True,27,1,1,0,0,1,1,1,1,2021-10-05 22:12:00,EV2-0218,True,True,False
292.0,7,6,4,1,True,34,1,1,0,0,1,1,1,1,2021-10-06 06:45:00,EV2-0219,True,True,False
16.0,7,7,5,0,True,39,0,0,0,0,0,0,0,0,2021-10-07 23:25:00,EV2-0220,False,False,False
1440.0,7,7,3,2,True,21,1,2,1,1,1,1,1,1,2021-10-13 20:12:00,EV2-0221,True,True,False
1320.0,10,10,8,7,True,41,5,6,1,1,4,5,6,6,2022-06-25 21:21:00,EV2-0222,True,True,False
28.0,9,9,5,3,True,35,3,3,0,0,3,3,3,3,2022-06-26 23:03:00,EV2-0223,True,True,False
12.0,6,6,5,1,True,29,1,1,0,0,1,1,1,1,2022-06-27 20:20:00,EV2-0224,True,True,False
16.0,6,6,4,7,True,26,5,5,0,0,5,5,5,5,2022-06-29 20:59:00,EV2-0225,True,True,False
10.0,10,10,5,10,True,29,4,5,1,1,4,4,5,5,2022-06-30 22:46:00,EV2-0226,True,True,False
10.0,6,6,4,5,True,24,3,3,0,0,3,3,3,3,2022-06-30 23:49:00,EV2-0227,True,True,False
9.0,6,6,4,3,True,34,2,2,0,0,1,2,2,2,2022-07-01 00:50:00,EV2-0228,True,True,False
17.0,7,6,4,0,True,31,0,0,0,0,0,0,0,0,2022-07-03 04:33:00,EV2-0229,False,False,False
