gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0,event_id,has_positive,has_future,outside_only
785.0,6,5,5,2,True,32.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2021-07-28 20:42:00,EV2-0106,True,True,False
80.0,8,8,5,0,True,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-02 18:00:00,EV2-0107,False,False,False
113.0,5,4,3,0,True,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-02 23:48:00,EV2-0108,False,False,False
84.0,5,4,3,0,True,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-03 08:50:00,EV2-0109,False,False,False
110.0,5,4,3,14,True,28.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,2021-08-04 23:00:00,EV2-0110,True,True,False
124.0,4,4,1,2,True,13.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2021-08-08 19:00:00,EV2-0111,True,True,False
848.0,4,4,3,0,True,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-10 21:28:00,EV2-0112,False,False,False
97.0,14,12,7,6,True,47.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,2021-08-14 22:26:00,EV2-0113,True,True,False
169.0,8,6,2,3,True,26.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2021-08-18 21:13:00,EV2-0114,True,True,False
83.0,11,11,8,1,True,49.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2021-08-19 21:09:00,EV2-0115,True,True,False
539.0,6,4,2,0,True,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-23 18:34:00,EV2-0116,False,False,False
161.0,4,4,3,2,True,21.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2021-08-25 21:35:00,EV2-0117,True,True,False
