순번,업체명,소재지,신고일자,영업상태,사육업종,등록허가여부,시설면적(제곱미터),사육두수,데이터기준일자
172,그린목장,"전북특별자치도 익산시 황등면 율촌리 283번지 4호 , 280-2, 765-11, -16, -33, -35, -36 ",2005-09-30,정상,한우,허가대상,2228,71,2024-12-31
173,백O달농장,전북특별자치도 익산시 왕궁면 쌍제리 97번지 1호  ,2005-09-30,정상,한우,등록대상 ,688.5,32,2024-12-31
174,학호(정O순)농장,전북특별자치도 익산시 왕궁면 온수리 187번지  ,2005-09-30,정상,돼지,등록대상 ,276,100,2024-12-31
175,학호(임O득)농장,전북특별자치도 익산시 왕궁면 온수리 326번지 1호  ,2005-09-30,정상,돼지,등록대상 ,287,200,2024-12-31
176,학호(김O열)농장,전북특별자치도 익산시 왕궁면 온수리 326번지 42호  ,2005-09-30,정상,돼지,등록대상 ,264,300,2024-12-31
177,학호(칠성)농장,전북특별자치도 익산시 왕궁면 온수리 326번지 36호  ,2005-09-30,정상,돼지,등록대상 ,129,60,2024-12-31
178,학호(김O길)농장,전북특별자치도 익산시 왕궁면 온수리 258번지 1호  ,2005-09-30,정상,돼지,등록대상 ,268,80,2024-12-31
179,학호(권O수)농장,전북특별자치도 익산시 왕궁면 온수리 178번지  ,2005-09-30,정상,돼지,허가대상,119,200,2024-12-31
180,명성농장,전북특별자치도 익산시 왕궁면 온수리 205번지 34호  ,2005-09-30,정상,돼지,허가대상,2338.26,1800,2024-12-31
181,TY FARM,"전북특별자치도 익산시 왕궁면 구덕리 1254번지 ,1255 ",2005-09-30,정상,돼지,허가대상,1195.76,854,2024-12-31
182,희망찬농장,전북특별자치도 익산시 낭산면 삼담리 65번지 11호  ,2005-09-30,정상,육계,허가대상,2197.6,40000,2024-12-31
183,삼계(정O희)농장,전북특별자치도 익산시 함열읍 석매리 1129번지 5호 외2 ,2005-10-04,정상,육계,허가대상,1912,55000,2024-12-31
184,이O택 농장,전북특별자치도 익산시 함열읍 석매리 169번지 2호  ,2005-10-04,정상,육계,허가대상,2990,75000,2024-12-31
185,두라농장,전북특별자치도 익산시 함열읍 석매리 1230번지 1호  ,2005-10-04,정상,육계,허가대상,2736,75000,2024-12-31
186,상지원(일남)농장,전북특별자치도 익산시 낭산면 용기리 1403번지 53호  ,2005-10-04,정상,돼지,등록대상 ,384.8,150,2024-12-31
187,상지원(남O순)농장,전북특별자치도 익산시 함열읍 흘산리 209번지  ,2005-10-04,정상,돼지,등록대상 ,247.2,200,2024-12-31
188,삼익농장,"전북특별자치도 익산시 낭산면 구평리 125번지 15호 , 120-24 ",2005-10-04,정상,육계,허가대상,1728.5,0,2024-12-31
189,사거리 농장,전북특별자치도 익산시 낭산면 삼담리 325번지 29호  ,2005-10-04,정상,육계,허가대상,2833.92,38000,2024-12-31
