grid_x,grid_y,center_latitude,center_longitude,building_count,residential_count,commercial_count,total_floor_area_m2,mean_ground_floors,pages,grid_m,lat0,lon0
-2,18,36.12397273159037,126.96717354857519,148,38,2,3771.0,0.43243243243243246,1,1000,35.9566125,126.98382
-2,19,36.13301923059526,126.96717354857519,72,20,1,2063.4,0.5,1,1000,35.9566125,126.98382
-2,20,36.14206572960014,126.96717354857519,244,58,2,6361.0,0.4139344262295082,1,1000,35.9566125,126.98382
-2,21,36.15111222860503,126.96717354857519,11,2,1,517.8,0.7272727272727273,1,1000,35.9566125,126.98382
-1,-9,35.87971725845848,126.97827118285839,429,136,13,50623.6,0.668997668997669,1,1000,35.9566125,126.98382
-1,-8,35.88876375746336,126.97827118285839,6,0,1,537.7,0.6666666666666666,1,1000,35.9566125,126.98382
-1,-7,35.89781025646825,126.97827118285839,153,30,3,5049.7,0.45751633986928103,1,1000,35.9566125,126.98382
-1,-6,35.90685675547313,126.97827118285839,247,55,2,7474.9,0.43724696356275305,1,1000,35.9566125,126.98382
-1,-5,35.91590325447802,126.97827118285839,289,28,18,31338.6,0.6366782006920415,1,1000,35.9566125,126.98382
-1,-4,35.9249497534829,126.97827118285839,447,44,37,32195.4,0.6644295302013423,1,1000,35.9566125,126.98382
-1,-3,35.93399625248779,126.97827118285839,945,137,41,72244.8,0.7206349206349206,1,1000,35.9566125,126.98382
-1,-2,35.94304275149267,126.97827118285839,977,70,30,322667.1,0.8085977482088025,1,1000,35.9566125,126.98382
-1,-1,35.95208925049756,126.97827118285839,1168,519,82,862392.8,2.2919520547945207,2,1000,35.9566125,126.98382
-1,0,35.96113574950244,126.97827118285839,855,419,206,1277653.7,3.6538011695906434,1,1000,35.9566125,126.98382
-1,1,35.97018224850733,126.97827118285839,314,59,22,23256.8,0.8949044585987261,1,1000,35.9566125,126.98382
-1,2,35.97922874751221,126.97827118285839,254,73,14,18816.1,0.8188976377952756,1,1000,35.9566125,126.98382
-1,3,35.9882752465171,126.97827118285839,482,116,10,23809.4,0.5684647302904564,1,1000,35.9566125,126.98382
-1,4,35.99732174552198,126.97827118285839,188,52,1,8561.8,0.7074468085106383,1,1000,35.9566125,126.98382
-1,5,36.00636824452687,126.97827118285839,154,34,2,3479.8,0.6103896103896104,1,1000,35.9566125,126.98382
-1,6,36.01541474353175,126.97827118285839,580,187,9,22949.7,0.593103448275862,1,1000,35.9566125,126.98382
-1,7,36.02446124253664,126.97827118285839,298,58,20,22662.8,0.6711409395973155,1,1000,35.9566125,126.98382
-1,8,36.03350774154152,126.97827118285839,242,45,2,22364.9,0.6239669421487604,1,1000,35.9566125,126.98382
