분석대상,발생시각,신고수,서로다른좌표수,지역별신고수,평균강도,최대강도,악취종류별신고수,주요악취종류
익산시만,2021-06-25 08:00:00,1,1,"{""팔봉동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-25 21:00:00,1,1,"{""목천동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-26 07:00:00,1,1,"{""어양동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-26 08:00:00,1,1,"{""동산동"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2021-06-26 13:00:00,1,1,"{""현영동"": 1}",3.0,3,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-26 16:00:00,2,1,"{""낭산면 용기리"": 2}",4.0,4,"{""기타"": 2}",기타
익산시만,2021-06-26 17:00:00,2,2,"{""낭산면 용기리"": 2}",3.5,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1, ""기타"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-26 18:00:00,1,1,"{""낭산면 용기리"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2021-06-26 19:00:00,3,1,"{""낭산면 용기리"": 3}",4.0,4,"{""기타"": 3}",기타
익산시만,2021-06-26 21:00:00,4,2,"{""낭산면 용기리"": 4}",4.75,5,"{""기타"": 4}",기타
익산시만,2021-06-27 00:00:00,3,3,"{""평화동"": 1, ""인화동2가"": 1, ""모현동1가"": 1}",4.0,4,"{""음식조리 냄새"": 1, ""가축 분뇨 냄새(닭, 돼지, 소)"": 1, ""공장 냄새(화학약품, 매캐함)"": 1}",음식조리 냄새
익산시만,2021-06-27 01:00:00,1,1,"{""부송동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-27 05:00:00,1,1,"{""부송동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-27 10:00:00,1,1,"{""모현동1가"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-27 14:00:00,2,2,"{""부송동"": 2}",4.5,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 2}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-28 13:00:00,1,1,"{""현영동"": 1}",4.0,4,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2021-06-28 15:00:00,1,1,"{""팔봉동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-28 22:00:00,7,7,"{""부송동"": 3, ""신흥동"": 1, ""영등동"": 1, ""금강동"": 1, ""어양동"": 1}",3.857142857142857,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 6, ""하수구 냄새"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-28 23:00:00,19,18,"{""부송동"": 5, ""모현동1가"": 5, ""동산동"": 3, ""어양동"": 2, ""석암동"": 1, ""평화동"": 1, ""팔봉동"": 1, ""왕궁면 쌍제리"": 1}",4.0,5,"{""기타"": 14, ""가축 분뇨 냄새(닭, 돼지, 소)"": 5}",기타
익산시만,2021-06-29 00:00:00,2,2,"{""영등동"": 1, ""모현동1가"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1, ""기타"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-29 02:00:00,1,1,"{""평화동"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2021-06-29 05:00:00,1,1,"{""부송동"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2021-06-29 06:00:00,1,1,"{""부송동"": 1}",3.0,3,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-29 07:00:00,2,2,"{""팔봉동"": 1, ""부송동"": 1}",3.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1, ""공장 냄새(화학약품, 매캐함)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-29 08:00:00,1,1,"{""신동"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2021-06-29 16:00:00,1,1,"{""부송동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-29 23:00:00,1,1,"{""팔봉동"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-30 00:00:00,2,2,"{""부송동"": 1, ""어양동"": 1}",4.0,5,"{""기타"": 2}",기타
익산시만,2021-06-30 02:00:00,1,1,"{""평화동"": 1}",3.0,3,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-30 03:00:00,2,2,"{""모현동1가"": 1, ""어양동"": 1}",3.5,5,"{""기타"": 1, ""가축 분뇨 냄새(닭, 돼지, 소)"": 1}",기타
익산시만,2021-06-30 04:00:00,1,1,"{""어양동"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-30 06:00:00,1,1,"{""석암동"": 1}",5.0,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-30 08:00:00,1,1,"{""어양동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-30 17:00:00,1,1,"{""마동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-30 23:00:00,2,2,"{""모현동1가"": 1, ""동산동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1, ""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-07-01 00:00:00,1,1,"{""낭산면 용기리"": 1}",5.0,5,"{""기타"": 1}",기타
익산시만,2021-07-01 07:00:00,1,1,"{""낭산면 용기리"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
