순번,업체명,소재지(원문),정제주소,lat,lon,geocode_method,n_parcels,사육업종,사육두수,시설면적,영업상태,신고일자
91,두준농장,전북특별자치도 익산시 낭산면 용기리 1509-16번지 ,전북특별자치도 익산시 낭산면 용기리 1509-16,36.044550109903,126.976083570597,지번정확,1,돼지,100,178.89,정상,2005-05-18
92,한열농장,전북특별자치도 익산시 낭산면 용기리 1403번지 82호  ,전북특별자치도 익산시 낭산면 용기리 1403-82,36.0448703586044,126.976759184011,지번정확,1,돼지,150,214.26,정상,2005-05-18
93,농업회사법인 함박농장 주식회사,"전북특별자치도 익산시 망성면 신작리 664번지 660, 602-6, 663-4, -6,  665, -1, 667-2, -6, 670-3, 1302 ",전북특별자치도 익산시 망성면 신작리 664 660,36.1383494704488,127.010621521115,리중심,7,돼지,5000,4987.88,정상,2005-05-18
94,덕진 농장,"전북특별자치도 익산시 함열읍 석매리 118번지 42호 -21,-44,-45,-46,-48 ",전북특별자치도 익산시 함열읍 석매리 118-42 -21,36.0549198121404,126.961856195476,리중심,1,돼지,900,989.46,정상,2005-05-18
95,한얼팜스,"전북특별자치도 익산시 함열읍 석매리 118번지 31호 ,-32,-33,-34 ",전북특별자치도 익산시 함열읍 석매리 118-31,36.0456991638984,126.973874518454,지번정확,1,돼지,900,596.99,정상,2005-05-18
96,삼권농장,전북특별자치도 익산시 함열읍 석매리 116번지 62호  ,전북특별자치도 익산시 함열읍 석매리 116-62,36.0455242743335,126.976225321671,지번정확,1,돼지,300,340,정상,2005-05-18
97,덕진농장,전북특별자치도 익산시 함열읍 석매리 117번지 13호  ,전북특별자치도 익산시 함열읍 석매리 117-13,36.0449497230996,126.975680952841,지번정확,1,돼지,0,197.38,정상,2005-05-18
98,상일농장,전북특별자치도 익산시 낭산면 용기리 1509번지 58호  ,전북특별자치도 익산시 낭산면 용기리 1509-58,36.0438277611472,126.976007330159,지번정확,1,돼지,400,795.5,정상,2005-06-15
99,흥일농장,전북특별자치도 익산시 금마면 용순리 467번지 1호  ,전북특별자치도 익산시 금마면 용순리 467-1,35.9952550414613,127.032028270375,지번정확,1,돼지,1800,3826.68,정상,2005-06-15
100,공O호농장,전북특별자치도 익산시 용안면 교동리 385번지 외 386 ,전북특별자치도 익산시 용안면 교동리 385 외 386,36.1147027546838,126.952525599563,지번정확,1,한우,100,302.56,정상,2005-06-15
101,한얼팜스,"전북특별자치도 익산시 낭산면 용기리 산 108번지 32호 1403-123, 1403-150, 산108-2 ",전북특별자치도 익산시 낭산면 용기리 산 108-32 1403-123,36.0620809011182,126.986995655425,리중심,2,돼지,1700,1468.8,정상,2005-06-15
102,금실(Farm)제1농장,"전북특별자치도 익산시 낭산면 용기리 1509번지 57호 ,-20,-74,-60, 함열읍 석매리 117-26,-18 ",전북특별자치도 익산시 낭산면 용기리 1509-57,36.0441913378625,126.976115971761,지번정확,1,돼지,1600,1325.77,정상,2005-06-15
103,홍O규농장,"전북특별자치도 익산시 용안면 창리 362번지 2호 , 365-2 ",전북특별자치도 익산시 용안면 창리 362-2,36.1254128084178,126.963917082948,첫필지,2,한우,92,629.32,정상,2005-06-17
104,청솔목장,전북특별자치도 익산시 용안면 덕용리 209번지  ,전북특별자치도 익산시 용안면 덕용리 209,36.111246917887,126.943520594161,지번정확,1,한우,60,858.5,정상,2005-06-17
105,세안농장,전북특별자치도 익산시 함열읍 석매리 116번지 44호  ,전북특별자치도 익산시 함열읍 석매리 116-44,36.0458410914177,126.974640855597,지번정확,1,돼지,50,364.03,정상,2005-07-21
106,2농장,전북특별자치도 익산시 낭산면 용기리 1509번지 51호  ,전북특별자치도 익산시 낭산면 용기리 1509-51,36.0444132682852,126.976821351498,지번정확,1,돼지,150,163.66,정상,2005-07-21
107,한얼팜스,전북특별자치도 익산시 낭산면 용기리 1403번지 84호  ,전북특별자치도 익산시 낭산면 용기리 1403-84,36.0463309150655,126.976904907946,지번정확,1,돼지,80,192.4,정상,2005-07-21
108,현농장,전북특별자치도 익산시 왕궁면 흥암리 674번지 13호  ,전북특별자치도 익산시 왕궁면 흥암리 674-13,35.9555503252702,127.081254664184,지번정확,1,한우,1030,1540.74,정상,2005-07-21
109,참새 고을농장,전북특별자치도 익산시 성당면 와초리 354번지 갈산리 425-6 외1필지 ,전북특별자치도 익산시 성당면 와초리 354 갈산리 425-6 외1필지,36.0741408692579,126.935914189716,리중심,1,육계,50000,3921.5,정상,2005-07-29
110,유O현 농장,전북특별자치도 익산시 성당면 장선리 산 26번지  ,전북특별자치도 익산시 성당면 장선리 산 26,36.0854297677086,126.93976884644,리중심,1,젖소,52,1080,정상,2005-08-01
111,하O석 농장,전북특별자치도 익산시 성당면 성당리 391번지  ,전북특별자치도 익산시 성당면 성당리 391,36.1299946683298,126.917878690649,지번정확,1,한우,36,516,정상,2005-08-01
112,윤O하 농장,전북특별자치도 익산시 성당면 장선리 494번지 8호  ,전북특별자치도 익산시 성당면 장선리 494-8,36.0831330038994,126.930443968877,지번정확,1,한우,40,723.62,정상,2005-08-01
113,두동 한우 농장,전북특별자치도 익산시 성당면 두동리 463번지  ,전북특별자치도 익산시 성당면 두동리 463,36.1082343105629,126.921283830634,지번정확,1,한우,80,891,정상,2005-08-01
114,조O만 농장,전북특별자치도 익산시 성당면 두동리 628번지 1호  ,전북특별자치도 익산시 성당면 두동리 628-1,36.1175199704273,126.922212142731,지번정확,1,한우,78,900,정상,2005-08-01
115,홍O만농장,"전북특별자치도 익산시 금마면 서고도리 186번지 ,185-1 ",전북특별자치도 익산시 금마면 서고도리 186,35.9922401494647,127.047043931433,첫필지,2,한우,26,236,정상,2005-08-04
116,김O규농장,전북특별자치도 익산시 금마면 용순리 473번지  ,전북특별자치도 익산시 금마면 용순리 473,35.9931655695338,127.033205181777,지번정확,1,한우,72,1380,정상,2005-08-04
117,소O창농장,전북특별자치도 익산시 금마면 동고도리 277번지 1호  ,전북특별자치도 익산시 금마면 동고도리 277-1,35.9925029112426,127.061475691795,지번정확,1,한우,20,864,정상,2005-08-04
