datetime,latitude,longitude,region,intensity,odor_type,grid_id,st_cluster
2020-05-08 15:36:00,35.92091,126.8764,오산면 신지리,5,"가축 분뇨 냄새(닭, 돼지, 소)",-20:-8,-1
2020-05-09 16:58:00,36.009773,127.052605,금마면 신용리,4,기타,12:11,-1
2020-05-10 14:55:00,35.961388,126.978065,영등동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-2:1,-1
2020-05-10 21:48:00,35.969498,126.93561,현영동,5,"가축 분뇨 냄새(닭, 돼지, 소)",-9:2,-1
2020-05-11 00:34:00,35.927002,126.95426,인화동2가,5,기타,-6:-7,-1
2020-05-13 23:32:00,35.951813,126.97535,영등동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-2:-2,-1
2020-05-14 02:41:00,35.963528,126.9871,부송동,5,"가축 분뇨 냄새(닭, 돼지, 소)",0:1,-1
2020-05-14 06:03:00,35.960968,126.9757,영등동,5,하수구 냄새,-2:0,-1
2020-05-15 11:55:00,35.96133,126.99432,부송동,4,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-05-15 17:52:00,35.961296,126.99335,부송동,4,"가축 분뇨 냄새(닭, 돼지, 소)",1:1,-1
2020-05-16 10:59:00,35.99145,126.97603,월성동,3,기타,-2:7,-1
2020-05-16 15:53:00,35.991486,126.97547,월성동,3,기타,-2:7,-1
2020-05-16 16:45:00,35.99152,126.975555,월성동,4,기타,-2:7,-1
2020-05-18 05:17:00,35.926914,126.95415,인화동2가,5,기타,-6:-7,-1
2020-05-18 15:00:00,35.964214,127.01459,팔봉동,3,"공장 냄새(화학약품, 매캐함)",5:1,-1
2020-05-20 21:07:00,36.009808,127.052666,금마면 신용리,4,하수구 냄새,12:11,-1
2020-05-21 03:50:00,35.947823,126.9692,영등동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-3:-2,-1
2020-05-21 23:45:00,36.13588,127.00045,망성면 화산리,4,기타,2:39,-1
2020-05-22 02:36:00,35.92695,126.95436,인화동2가,3,기타,-6:-7,-1
2020-05-22 17:06:00,35.93464,126.93848,평화동,0,해당사항없음,-9:-5,-1
2020-05-23 12:00:00,35.933834,126.97001,동산동,5,하수구 냄새,-3:-6,-1
