cluster_id,start,end,duration_minutes,reports,unique_grids,mean_intensity,major_region,major_odor_type
295,2024-10-12 19:46:00,2024-10-12 20:44:00,58.0,7,1,4.857142857142857,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
229,2022-09-14 18:11:00,2022-09-14 18:39:00,28.0,7,1,5.0,낭산면 용기리,기타
53,2020-08-16 03:09:00,2020-08-16 04:57:00,108.0,7,6,4.285714285714286,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
217,2022-08-14 22:59:00,2022-08-15 00:41:00,102.0,7,5,3.5714285714285716,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
254,2024-06-01 21:51:00,2024-06-01 22:51:00,60.0,7,1,3.142857142857143,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
232,2022-09-18 16:38:00,2022-09-18 16:55:00,17.0,7,1,5.0,낭산면 용기리,기타
68,2020-08-24 06:24:00,2020-08-24 06:55:00,31.0,7,4,4.285714285714286,동산동,기타
321,2026-06-30 06:01:00,2026-06-30 07:04:00,63.0,7,3,4.714285714285714,마동,"가축 분뇨 냄새(닭, 돼지, 소)"
70,2020-08-28 17:03:00,2020-08-28 17:16:00,13.0,7,7,2.857142857142857,영등동,기타
253,2024-05-25 22:04:00,2024-05-25 23:00:00,56.0,6,2,4.5,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
231,2022-09-15 23:25:00,2022-09-16 00:34:00,69.0,6,4,4.166666666666667,부송동,"공장 냄새(화학약품, 매캐함)"
230,2022-09-15 17:15:00,2022-09-15 18:36:00,81.0,6,6,4.0,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
15,2020-07-29 21:53:00,2020-07-29 22:52:00,59.0,6,5,3.8333333333333335,모현동1가,기타
250,2023-09-29 21:18:00,2023-09-29 22:50:00,92.0,6,2,4.5,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
251,2023-10-05 22:46:00,2023-10-05 23:29:00,43.0,6,5,4.5,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
226,2022-09-06 22:34:00,2022-09-06 23:12:00,38.0,6,6,4.5,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
222,2022-08-27 01:22:00,2022-08-27 01:46:00,24.0,6,5,4.0,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
240,2023-07-05 22:34:00,2023-07-05 22:59:00,25.0,6,2,4.5,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
247,2023-09-10 22:11:00,2023-09-10 22:55:00,44.0,6,3,3.6666666666666665,모현동1가,"공장 냄새(화학약품, 매캐함)"
219,2022-08-21 02:37:00,2022-08-21 02:59:00,22.0,6,2,4.333333333333333,영등동,기타
215,2022-08-11 01:54:00,2022-08-11 02:16:00,22.0,6,4,4.5,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
241,2023-07-13 21:49:00,2023-07-13 22:01:00,12.0,6,5,3.6666666666666665,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
245,2023-09-06 22:52:00,2023-09-07 00:00:00,68.0,6,6,4.0,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
8,2020-07-18 08:05:00,2020-07-18 08:28:00,23.0,6,4,3.0,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
190,2022-07-03 22:48:00,2022-07-03 23:24:00,36.0,6,4,3.8333333333333335,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
74,2020-09-03 19:21:00,2020-09-03 21:17:00,116.0,6,2,3.5,팔봉동,"공장 냄새(화학약품, 매캐함)"
316,2025-10-10 22:33:00,2025-10-10 23:04:00,31.0,6,3,4.333333333333333,송학동,"가축 분뇨 냄새(닭, 돼지, 소)"
112,2021-06-28 23:15:00,2021-06-29 00:09:00,54.0,6,4,3.8333333333333335,모현동1가,기타
315,2025-10-01 21:40:00,2025-10-01 23:01:00,81.0,6,2,4.0,마동,"가축 분뇨 냄새(닭, 돼지, 소)"
137,2021-08-08 19:00:00,2021-08-08 19:45:00,45.0,6,2,4.833333333333333,낭산면 용기리,기타
135,2021-08-08 12:47:00,2021-08-08 14:00:00,73.0,6,2,4.333333333333333,낭산면 용기리,기타
44,2020-08-10 16:05:00,2020-08-10 16:40:00,35.0,6,5,3.8333333333333335,모현동1가,기타
47,2020-08-13 01:06:00,2020-08-13 01:39:00,33.0,6,4,4.5,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
281,2024-09-05 01:15:00,2024-09-05 01:55:00,40.0,6,4,5.0,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
56,2020-08-17 05:08:00,2020-08-17 05:46:00,38.0,6,5,4.0,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
285,2024-09-12 18:37:00,2024-09-12 19:32:00,55.0,6,1,4.333333333333333,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
144,2021-08-15 23:45:00,2021-08-16 00:16:00,31.0,6,3,4.666666666666667,동산동,하수구 냄새
58,2020-08-17 07:59:00,2020-08-17 09:10:00,71.0,6,3,4.0,부송동,하수구 냄새
289,2024-09-23 21:37:00,2024-09-23 22:13:00,36.0,6,4,4.0,부송동,"공장 냄새(화학약품, 매캐함)"
304,2025-08-29 22:47:00,2025-08-29 23:52:00,65.0,6,5,5.0,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
97,2021-06-02 21:54:00,2021-06-02 23:01:00,67.0,6,5,3.6666666666666665,영등동,"공장 냄새(화학약품, 매캐함)"
95,2020-10-13 23:13:00,2020-10-14 00:33:00,80.0,6,4,4.333333333333333,동산동,기타
297,2024-10-27 17:18:00,2024-10-27 18:31:00,73.0,6,1,4.166666666666667,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
82,2020-09-15 07:11:00,2020-09-15 08:00:00,49.0,6,3,4.333333333333333,부송동,"공장 냄새(화학약품, 매캐함)"
276,2024-08-22 10:51:00,2024-08-22 11:26:00,35.0,6,1,4.333333333333333,왕궁면 흥암리,기타
233,2022-09-18 18:25:00,2022-09-18 19:16:00,51.0,6,2,4.5,부송동,"공장 냄새(화학약품, 매캐함)"
171,2021-09-25 17:34:00,2021-09-25 17:54:00,20.0,6,3,5.0,낭산면 용기리,기타
