gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0_override,t_pred_min,lead_gain_min,t0,event_id,has_positive,has_future,outside_only
29.0,7,7,6,11,True,38,5,7,2,2,4,5,7,7,27050065,27050095,5,2021-06-06 18:25:00,EV2-0122,True,True,False
3.0,7,7,7,7,True,52,4,4,0,0,2,4,4,4,27054437,27054467,8,2021-06-09 19:17:00,EV2-0123,True,True,False
11.0,7,7,6,9,True,46,7,7,0,0,5,7,7,7,27054508,27054538,2,2021-06-09 20:28:00,EV2-0124,True,True,False
3.0,7,7,5,2,True,43,2,2,0,0,1,2,2,2,27054636,27054666,7,2021-06-09 22:36:00,EV2-0125,True,True,False
8.0,7,7,7,3,True,52,2,2,0,0,2,2,2,2,27055773,27055803,1,2021-06-10 17:33:00,EV2-0126,True,True,False
32.0,7,7,3,1,True,27,1,1,0,0,1,1,1,1,27061807,27061837,4,2021-06-14 22:07:00,EV2-0127,True,True,False
13.0,7,7,5,0,True,38,0,0,0,0,0,0,0,0,27065304,27065334,18,2021-06-17 08:24:00,EV2-0128,False,False,False
4.0,8,8,8,14,True,45,7,9,2,2,6,7,8,8,27081996,27082026,9,2021-06-28 22:36:00,EV2-0129,True,True,False
6.0,7,7,5,37,True,40,10,11,1,1,9,10,11,11,27094988,27095018,14,2021-07-07 23:08:00,EV2-0130,True,True,False
1.0,13,13,7,6,True,50,4,5,1,1,3,4,5,5,27095048,27095078,0,2021-07-08 00:08:00,EV2-0131,True,True,False
5.0,8,7,5,0,True,32,0,0,0,0,0,0,0,0,27100605,27100635,3,2021-07-11 20:45:00,EV2-0132,False,False,False
567.0,7,7,6,5,True,39,2,4,2,2,1,2,4,4,27103410,27103440,11,2021-07-13 19:30:00,EV2-0133,True,True,False
7.0,7,7,5,13,True,33,4,7,3,6,4,4,5,6,27104905,27104935,10,2021-07-14 20:25:00,EV2-0134,True,True,False
1.0,36,29,14,14,True,49,9,10,1,1,9,9,10,10,27104965,27104995,0,2021-07-14 21:25:00,EV2-0135,True,True,False
6.0,7,7,3,9,True,21,3,5,2,2,2,3,3,4,27105029,27105059,3,2021-07-14 22:29:00,EV2-0136,True,True,False
1.0,10,8,6,13,True,43,8,10,2,2,7,8,10,10,27105090,27105120,0,2021-07-14 23:30:00,EV2-0137,True,True,False
4.0,9,8,5,9,True,33,4,5,1,2,4,4,5,5,27113614,27113644,0,2021-07-20 21:34:00,EV2-0138,True,True,False
3.0,7,7,4,11,True,24,5,6,1,1,4,5,5,6,27113682,27113712,3,2021-07-20 22:42:00,EV2-0139,True,True,False
3.0,15,14,7,5,True,40,4,4,0,0,3,4,4,4,27113750,27113780,0,2021-07-20 23:50:00,EV2-0140,True,True,False
3.0,7,7,6,3,True,34,2,2,0,0,2,2,2,2,27118024,27118054,1,2021-07-23 23:04:00,EV2-0141,True,True,False
9.0,7,7,7,2,True,46,2,2,0,0,2,2,2,2,27119523,27119553,3,2021-07-25 00:03:00,EV2-0142,True,True,False
26.0,7,7,3,7,True,21,4,5,1,1,4,4,4,4,27120781,27120811,17,2021-07-25 21:01:00,EV2-0143,True,True,False
15.0,7,7,3,6,True,31,4,5,1,1,3,4,5,5,27122204,27122234,14,2021-07-26 20:44:00,EV2-0144,True,True,False
8.0,7,7,4,0,True,26,0,0,0,0,0,0,0,0,27130734,27130764,10,2021-08-01 18:54:00,EV2-0145,False,False,False
70.0,8,8,5,0,True,29,0,0,0,0,0,0,0,0,27132110,27132140,10,2021-08-02 17:50:00,EV2-0146,False,False,False
13.0,11,7,3,13,True,21,4,5,1,1,4,4,4,4,27135317,27135347,1,2021-08-04 23:17:00,EV2-0147,True,True,False
3.0,12,11,7,14,True,33,6,7,1,1,6,6,6,7,27135381,27135411,0,2021-08-05 00:21:00,EV2-0148,True,True,False
9.0,8,7,7,6,True,41,4,4,0,0,4,4,4,4,27136758,27136788,3,2021-08-05 23:18:00,EV2-0149,True,True,False
16.0,8,8,6,3,True,32,3,3,0,0,3,3,3,3,27146707,27146737,5,2021-08-12 21:07:00,EV2-0150,True,True,False
76.0,8,8,7,8,True,47,5,5,0,0,4,5,5,5,27149645,27149675,21,2021-08-14 22:05:00,EV2-0151,True,True,False
22.0,7,7,5,1,True,40,1,1,0,0,1,1,1,1,27151025,27151055,5,2021-08-15 21:05:00,EV2-0152,True,True,False
5.0,7,7,4,7,True,24,3,4,1,1,2,3,4,4,27151098,27151128,13,2021-08-15 22:18:00,EV2-0153,True,True,False
65.0,8,8,5,4,True,32,3,4,1,1,2,3,3,3,27156771,27156801,18,2021-08-19 20:51:00,EV2-0154,True,True,False
15.0,7,7,5,3,True,35,3,3,0,0,3,3,3,3,27158163,27158193,0,2021-08-20 20:03:00,EV2-0155,True,True,False
208.0,7,7,3,11,True,21,3,7,4,7,3,3,5,6,27174055,27174085,8,2021-08-31 20:55:00,EV2-0156,True,True,False
4.0,7,7,4,14,True,24,7,7,0,0,6,7,7,7,27174139,27174169,11,2021-08-31 22:19:00,EV2-0157,True,True,False
14.0,8,7,4,4,True,26,2,2,0,0,2,2,2,2,27191530,27191560,1,2021-09-13 00:10:00,EV2-0158,True,True,False
8.0,7,7,3,9,True,21,4,4,0,0,4,4,4,4,27204357,27204387,23,2021-09-21 21:57:00,EV2-0159,True,True,False
31.0,7,7,4,5,True,35,3,4,1,1,3,3,4,4,27208724,27208754,9,2021-09-24 22:44:00,EV2-0160,True,True,False
268.0,12,7,2,5,True,26,1,1,0,0,1,1,1,1,27211162,27211192,18,2021-09-26 15:22:00,EV2-0161,True,True,False
5.0,7,7,4,7,True,24,5,5,0,0,4,5,5,5,27214385,27214415,7,2021-09-28 21:05:00,EV2-0162,True,True,False
39.0,8,7,3,2,True,31,0,2,2,2,0,0,1,1,27220241,27220271,16,2021-10-02 22:41:00,EV2-0163,False,True,True
151.0,7,7,6,9,True,33,5,5,0,0,5,5,5,5,27221543,27221573,7,2021-10-03 20:23:00,EV2-0164,True,True,False
17.0,7,7,5,1,True,40,1,1,0,0,1,1,1,1,27223175,27223205,2,2021-10-04 23:35:00,EV2-0165,True,True,False
13.0,7,7,5,3,True,27,1,1,0,0,1,1,1,1,27224527,27224557,5,2021-10-05 22:07:00,EV2-0166,True,True,False
